OBJECTID,LAD21CD,LAD21NM,BNG_E,BNG_N,LONG,LAT,SHAPE_Leng,SHAPE_Area
318,N09000009,Mid Ulster,83920,528564,-6.888899803161621,54.552730560302734,318433.1847641001,1957293802.175522
319,N09000010,"Newry, Mourne and Down",133006,480432,-6.088910102844238,54.14952850341797,380092.25943488546,1682340590.0884266
320,N09000011,Ards and North Down,164321,524944,-5.645679950714111,54.564090728759766,204687.66081920365,566472955.047846
321,S12000005,Clackmannanshire,291178,696402,-3.753159999847412,56.1478385925293,96934.53723205264,159185046.7801609
322,S12000006,Dumfries and Galloway,270645,579856,-4.028629779815674,55.09621047973633,1207100.7965547533,6436566764.097092
323,S12000008,East Ayrshire,255398,624935,-4.29056978225708,55.49673843383789,340964.44096399844,1270342032.2148037
324,S12000010,East Lothian,354854,672351,-2.724349975585938,55.94207000732422,202128.8726582498,679240892.618404
325,S12000011,East Renfrewshire,251929,653115,-4.360599994659424,55.748680114746094,93882.42988378038,174249494.0816754
326,S12000013,Na h-Eileanan Siar,126473,932862,-6.657219886779785,58.199378967285156,3871068.338820155,3096614749.111115
327,S12000014,Falkirk,285585,680168,-3.836189985275269,56.00075149536133,169062.82612542168,297127560.139272
328,S12000017,Highland,241018,858292,-4.661029815673828,57.586570739746094,5228313.527555211,26158744575.518173
329,S12000018,Inverclyde,227922,670894,-4.753870010375977,55.900299072265625,79292.11885861332,161948856.60822147
330,S12000019,Midlothian,330088,659217,-3.117379903793335,55.821109771728516,126470.9904623982,355271578.326523
331,S12000020,Moray,328015,843590,-3.202019929885864,57.47679901123047,463278.21810874966,2237554237.471696
332,S12000021,North Ayrshire,228996,651640,-4.724599838256836,55.72789001464844,350167.4813257727,885284942.9548692
333,S12000023,Orkney Islands,348293,1006584,-2.90024995803833,58.94334030151367,1203117.0091449101,1015036193.3740013
334,S12000026,Scottish Borders,345889,626137,-2.858690023422241,55.52595138549805,514330.56176358793,4739167854.45028
335,S12000027,Shetland Islands,434516,1180307,-1.373440027236938,60.50495147705078,2321876.1601024,1468514416.844746
336,S12000028,South Ayrshire,226545,596271,-4.728990077972412,55.230079650878906,334722.07969684445,1224369285.1660538
337,S12000029,South Lanarkshire,284634,636071,-3.832720041275024,55.604530334472656,284527.3224949539,1773897195.3436983
338,S12000030,Stirling,255980,708769,-4.325950145721436,56.24953079223633,374946.18227435177,2252533429.022135
339,S12000033,Aberdeen City,387763,808479,-2.203979969024658,57.166969299316406,123490.69283460146,185566198.9627224
340,S12000034,Aberdeenshire,352284,816277,-2.792079925537109,57.23469161987305,795104.4590481585,6318011418.767142
341,S12000035,Argyll and Bute,200740,715443,-5.221139907836914,56.2894401550293,3795946.1125770183,7005854069.488164
342,S12000036,City of Edinburgh,320193,669417,-3.278259992599487,55.91120147705078,110339.00653669116,263390596.41217637
343,S12000038,Renfrewshire,239305,664698,-4.568339824676514,55.8486213684082,131636.10804852622,261487693.12371695
344,S12000039,West Dunbartonshire,242904,681586,-4.520740032196045,56.001399993896484,103696.85659826458,177320342.66482466
345,S12000040,West Lothian,299483,668514,-3.609090089797974,55.899200439453125,134896.99473910354,428772888.9876501
346,S12000041,Angus,345506,759636,-2.892100095748901,56.725181579589844,328926.66394758463,2184982991.1012416
347,S12000042,Dundee City,340291,732145,-2.97094988822937,56.47760009765625,47831.22101688847,59800691.08511232
348,S12000045,East Dunbartonshire,261240,676154,-4.224170207977295,55.958290100097656,99602.36015926531,174489023.42234915
349,S12000047,Fife,339187,704721,-2.982510089874268,56.23112106323242,358326.9202209258,1325190177.8180704
350,S12000048,Perth and Kinross,284302,744185,-3.88484001159668,56.575279235839844,633252.328522911,5383770897.171522
351,S12000049,Glasgow City,261534,667033,-4.214789867401123,55.87649154663086,135582.99800793047,174621293.70687312
352,S12000050,North Lanarkshire,277984,665608,-3.9514000415802,55.868141174316406,163984.67159574284,472309075.16236067
353,W06000001,Isle of Anglesey,245217,378331,-4.322979927062988,53.2793083190918,378962.15354984195,715212566.8237422
354,W06000002,Gwynedd,280555,334966,-3.77714991569519,52.89883041381836,643031.1860782943,2548293001.491819
355,W06000003,Conwy,283293,362563,-3.7464599609375,53.14738845825195,283264.26220498106,1130178952.5712445
356,W06000004,Denbighshire,309843,355416,-3.347609996795654,53.08832931518555,228754.6889912249,838716186.1454631
357,W06000005,Flintshire,321134,369280,-3.182480096817017,53.2147102355957,239008.2649268532,439830286.7762655
358,W06000006,Wrexham,333523,345387,-2.992029905319214,53.001670837402344,190040.48757401484,503773487.9326202
359,W06000008,Ceredigion,267127,268437,-3.94992995262146,52.297950744628906,382134.5516230073,1788379278.2018015
360,W06000009,Pembrokeshire,199821,221392,-4.908180236816406,51.85512924194336,743271.4116768996,1618344602.5681167
361,W06000010,Carmarthenshire,247954,224133,-4.211100101470947,51.89495086669922,591758.3582083785,2371104004.2418375
362,W06000011,Swansea,264022,197308,-3.967230081558228,51.658058166503906,270826.9122984503,377614559.6010407
363,W06000012,Neath Port Talbot,279261,195412,-3.746380090713501,51.644500732421875,182189.8738964369,442272615.12108856
364,W06000013,Bridgend,288231,185870,-3.613749980926514,51.56060028076172,93192.1892347876,250785304.3799612
365,W06000014,Vale of Glamorgan,302947,173080,-3.398010015487671,51.448360443115234,108403.09693585496,331261393.923654
366,W06000015,Cardiff,315272,178887,-3.222090005874634,51.502540588378906,79618.42293837575,142303624.58136448
367,W06000016,Rhondda Cynon Taf,302237,192395,-3.413589954376221,51.621849060058594,130240.62460283682,424150424.9553839
368,W06000018,Caerphilly,317245,195259,-3.197530031204224,51.65000915527344,116205.60066661441,277387820.79529256
369,W06000019,Blaenau Gwent,318236,206771,-3.185920000076294,51.753639221191406,65601.67444090781,108728048.16528551
370,W06000020,Torfaen,327459,200480,-3.051009893417358,51.698360443115234,82544.7709799912,126239927.86760022
371,W06000021,Monmouthshire,337812,209231,-2.9028000831604,51.77827072143555,224917.24278051787,850326621.679468
372,W06000022,Newport,337897,187432,-2.897690057754517,51.58230972290039,153216.30004404654,190431130.83486426
373,W06000023,Powys,302329,273255,-3.435309886932373,52.34864044189453,610121.3156029445,5195311014.489079
374,W06000024,Merthyr Tydfil,305916,206424,-3.36424994468689,51.74858093261719,66696.8154449643,111957012.0204278
